Temperature (°C),TDS Value (ppm),pH
21.19,2.26,6.96
21.06,2.27,6.96
21.06,2.27,6.96
21.06,2.27,6.96
21.06,2.27,6.96
21.06,2.27,6.96
21.12,2.27,6.96
21.06,2.27,6.96
21.06,2.27,6.96
21.0,2.27,6.96
21.06,2.27,6.96
21.06,2.27,6.96
21.12,2.27,6.96
21.06,2.27,6.96
21.06,2.27,6.96
21.12,2.27,6.96
21.06,2.27,6.96
21.06,2.27,6.96
21.06,2.27,6.96
21.06,2.27,6.96
21.06,2.27,6.96
21.12,2.27,6.96
21.06,4.53,6.96
21.12,2.27,6.96
21.12,2.27,6.96
21.06,0.0,6.96
21.06,2.27,6.96
21.19,0.0,6.98
21.12,2.27,7.0
21.06,0.0,7.0
21.06,0.0,7.01
21.12,0.0,7.01
21.19,0.0,7.0
21.19,0.0,7.01
21.31,0.0,7.0
21.37,0.0,7.0
21.5,0.0,7.0
21.56,2.24,7.0
21.69,0.0,7.0
21.81,0.0,7.0
21.87,0.0,7.0
22.06,0.0,7.0
22.12,0.0,7.0
22.19,2.21,6.98
22.37,0.0,7.0
22.5,0.0,7.0
22.56,0.0,6.98
22.69,0.0,6.98
22.81,0.0,6.98
22.94,0.0,6.98
23.06,0.0,6.98
23.25,0.0,6.98
23.37,0.0,6.98
23.37,0.0,6.98
23.56,0.0,6.98
23.62,2.15,6.98
23.5,8.58,6.98
23.37,8.6,6.98
23.31,8.62,6.98
23.12,8.65,6.98
23.12,8.65,6.98
23.06,8.66,6.98
23.0,2.18,6.98
22.94,2.18,6.98
22.94,2.18,6.98
22.81,2.19,6.96
22.81,2.19,6.98
22.75,2.19,6.98
22.75,2.19,6.98
22.69,2.19,6.98
22.62,2.19,6.98
22.62,2.19,6.98
22.56,2.2,6.98
22.56,2.2,6.96
22.5,2.2,6.98
22.5,2.2,6.98
22.44,2.2,6.98
22.44,2.2,6.98
22.37,2.21,6.98
22.37,2.21,6.98
22.31,2.21,6.96
22.31,4.41,6.98
22.31,2.21,6.98
22.25,2.21,6.98
22.19,2.21,6.96
22.25,2.21,6.98
22.19,2.21,6.98
22.19,2.21,6.98
22.12,2.22,6.98
22.25,2.21,6.98
22.12,2.22,6.98
22.12,0.0,6.98
22.12,2.22,6.98
22.06,2.22,6.98
22.06,2.22,6.98
22.06,2.22,6.96
22.06,0.0,6.96
22.0,2.22,6.98
22.0,2.22,6.98
22.0,2.22,6.98
21.94,2.23,6.98
21.94,2.23,6.98
21.94,2.23,6.96
21.94,2.23,6.98
21.87,2.23,6.98
21.94,2.23,6.98
21.87,2.23,6.98
21.81,2.23,6.96
21.81,2.23,6.98
21.87,2.23,6.96
21.81,0.0,6.96
21.81,2.23,6.98
21.81,2.23,6.98
21.81,2.23,6.96
21.81,2.23,6.96
21.75,2.24,6.98
21.75,2.24,6.98
21.75,2.24,6.98
21.81,2.23,6.96
21.75,2.24,6.96
21.75,2.24,6.96
21.75,0.0,6.96
21.75,2.24,6.96
21.75,2.24,6.98
21.75,2.24,6.96
21.75,2.24,6.96
21.69,2.24,6.96
21.69,2.24,6.96
21.75,0.0,6.96
21.69,2.24,6.96
21.69,2.24,6.96
21.69,2.24,6.96
21.75,2.24,6.96
21.69,0.0,6.96
21.69,2.24,6.96
21.69,6.7,6.96
21.69,4.47,6.96
21.62,2.24,6.96
21.69,2.24,6.96
21.62,2.24,6.96
21.69,0.0,6.96
21.62,2.24,6.96
21.62,0.0,6.96
21.69,2.24,6.96
21.62,4.48,6.96
21.62,2.24,6.96
21.62,4.48,6.96
21.56,2.24,6.96
21.56,2.24,6.96
21.62,2.24,6.96
21.56,2.24,6.96
21.62,2.24,6.96
21.56,2.24,6.96
21.62,4.48,6.96
21.56,2.24,6.96
21.56,4.48,6.96
21.56,4.48,6.96
21.56,2.24,6.96
21.56,2.24,6.96
21.56,2.24,6.96
21.56,0.0,6.96
21.56,2.24,6.96
21.56,0.0,6.96
21.56,2.24,6.96
